bt.sfgtsi_minus32769	8532	85 32	bt.sfgtsi_minus32769 r9	85 32	bt.sfgtsi_minus32769 r9
bt.sfgtsi_minus32769	8752	87 52	bt.sfgtsi_minus32769 r26	87 52	bt.sfgtsi_minus32769 r26
bt.sflesi_minus32769	8413	84 13	bt.sflesi_minus32769 r0	84 13	bt.sflesi_minus32769 r0
bt.sflesi_minus32769	8493	84 93	bt.sflesi_minus32769 r4	84 93	bt.sflesi_minus32769 r4
bt.sflesi_minus32769	8773	87 73	bt.sflesi_minus32769 r27	87 73	bt.sflesi_minus32769 r27
bt.sflesi_minus32769	8433	84 33	bt.sflesi_minus32769 r1	84 33	bt.sflesi_minus32769 r1
bt.add16	8414	84 14	bt.add16   r0	84 14	b.add16    r0,r0
bt.add16	84b4	84 b4	bt.add16   r5	84 b4	b.add16    r5,r5
bt.add16	84b4	84 b4	bt.add16   r5	84 b4	b.add16    r5,r5
bt.add16	85d4	85 d4	bt.add16   r14	85 d4	b.add16    r14,r14
bt.mov16	8415	84 15	bt.mov16   r0	84 15	bt.mov16   r0
bt.mov16	8795	87 95	bt.mov16   r28	87 95	bt.mov16   r28
bt.mov16	8575	85 75	bt.mov16   r11	85 75	bt.mov16   r11
bt.mov16	8575	85 75	bt.mov16   r11	85 75	bt.mov16   r11
bt.dm	8416	84 16	bt.dm	84 16	b.dm
bt.dm	8416	84 16	bt.dm	84 16	b.dm
bt.dm	8416	84 16	bt.dm	84 16	b.dm
bt.dm	8416	84 16	bt.dm	84 16	b.dm
bt.em	8417	84 17	bt.em	84 17	b.em
bt.em	8417	84 17	bt.em	84 17	b.em
bt.em	8417	84 17	bt.em	84 17	b.em
bt.em	8417	84 17	bt.em	84 17	b.em
bt.mov	8800	88 00	bt.mov     r0,r0	88 00	b.mov      r0,r0
bt.mov	8a01	8a 01	bt.mov     r16,r1	8a 01	b.mov      r16,r1
bt.mov	8bea	8b ea	bt.mov     r31,r10	8b ea	b.mov      r31,r10
bt.mov	8952	89 52	bt.mov     r10,r18	89 52	b.mov      r10,r18
bt.add	8c00	8c 00	bt.add     r0,r0	8c 00	b.add      r0,r0,r0
bt.add	8e3b	8e 3b	bt.add     r17,r27	8e 3b	b.add      r17,r17,r27
bt.add	8c88	8c 88	bt.add     r4,r8	8c 88	b.add      r4,r4,r8
bt.add	8d21	8d 21	bt.add     r9,r1	8d 21	b.add      r9,r9,r1
bt.j	9000	90 00	bt.j       0x0	90 00	b.j        0x0
